Type,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Outcome,Removal of more than just outer clothing,Road name,postcode,Postal code,Time difference
0,51.512598,-0.084967,1,3,15,3,1,0,Gracechurch Street,"20, Gracechurch Street, Cornhill, City of London, Greater London, England, EC3V 0BG, United Kingdom",EC3V 0BG,22.0
0,51.512598,-0.084967,1,1,13,3,1,0,Gracechurch Street,"20, Gracechurch Street, Cornhill, City of London, Greater London, England, EC3V 0BG, United Kingdom",EC3V 0BG,0.0
0,51.51265,-0.101452,1,2,13,2,0,0,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,20.0
1,51.51265,-0.101452,0,4,17,4,0,0,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,1.0
1,51.513915,-0.07318,1,1,15,1,0,0,Braham Street,"Braham Street Data Centre, 6, Braham Street, East Smithfield, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 8EE, United Kingdom",E1 8EE,5.0
1,51.513915,-0.07318,1,1,15,1,4,0,Braham Street,"Braham Street Data Centre, 6, Braham Street, East Smithfield, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 8EE, United Kingdom",E1 8EE,2.0
0,51.516351,-0.082965,1,1,1,0,1,0,Wormwood Street,"Barclays, Wormwood Street, Bishopsgate, City of London, Greater London, England, EC2M 1RQ, United Kingdom",EC2M 1RQ,2.0
1,51.515606,-0.094094,1,1,14,3,4,0,Gresham Street,"55 Gresham Street, 55, Gresham Street, Cheap, City of London, Greater London, England, EC2V 7EL, United Kingdom",EC2V 7EL,45.0
1,51.528493,-0.091394,1,1,13,0,1,0,Shepherdess Place,"Shepherdess Place, Hoxton, London Borough of Hackney, London, Greater London, England, EC1V 1JN, United Kingdom",EC1V 1JN,50.0
0,51.528493,-0.091394,1,1,13,0,1,1,Shepherdess Place,"Shepherdess Place, Hoxton, London Borough of Hackney, London, Greater London, England, EC1V 1JN, United Kingdom",EC1V 1JN,1.0
0,51.512856,-0.073254,1,1,1,0,0,0,Mansell Street,"Mansell Street, East Smithfield, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 8AL, United Kingdom",E1 8AL,26.0
0,51.512856,-0.073254,1,1,13,0,0,0,Mansell Street,"Mansell Street, East Smithfield, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 8AL, United Kingdom",E1 8AL,16.0
0,51.518262,-0.088203,1,1,5,1,1,0,Moorgate,"NatWest, 94, Moorgate, Barbican, City of London, Greater London, England, EC2M 6UR, United Kingdom",EC2M 6UR,9.0
0,51.517577,-0.098062,1,2,1,0,0,0,Montague Street,"Little Britain, Montague Street, West Smithfield, City of London, Greater London, England, EC1A 7DH, United Kingdom",EC1A 7DH,69.0
0,51.513885,-0.102741,1,1,3,0,0,0,Pageantmaster Court,"Pageantmaster Court, Blackfriars, City of London, Greater London, England, EC4M 7JZ, United Kingdom",EC4M 7JZ,1.0
1,51.516814,-0.08162,1,1,14,3,4,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,18.0
0,51.51265,-0.101452,1,1,7,1,1,0,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,6.0
0,51.513389,-0.080034,1,2,5,1,1,0,Leadenhall Street,"100, Leadenhall Street, Bishopsgate, City of London, Greater London, England, EC3A 4AA, United Kingdom",EC3A 4AA,18.0
0,51.516966,-0.1059,1,2,14,3,1,1,Plumtree Court,"The Plumtree, 54, Plumtree Court, West Smithfield, City of London, Greater London, England, EC4A 3BL, United Kingdom",EC4A 3BL,3.0
1,51.513268,-0.100202,1,2,3,0,4,0,Dean's Court,"Vita Mojo, 5, Dean's Court, Blackfriars, City of London, Greater London, England, EC4V 5AA, United Kingdom",EC4V 5AA,1.0
0,51.508066,-0.08778,1,2,14,3,1,0,King William Street,"London Bridge, King William Street, Cornhill, City of London, Greater London, England, EC4R 9AN, United Kingdom",EC4R 9AN,22.0
0,51.514858,0.004717,1,1,7,1,1,1,Newham Way,"Newham Way, Canning Town, London Borough of Newham, London, Greater London, England, E16 1HF, United Kingdom",E16 1HF,49.0
1,51.517184,-0.076747,1,2,11,1,4,0,Strype Street,"Monument Apartments, 6, Strype Street, Aldgate, London Borough of Tower Hamlets, London, Greater London, England, E1 7LG, United Kingdom",E1 7LG,25.0
1,51.51768,-0.078484,1,3,1,0,1,0,Middlesex Street,"123, Middlesex Street, Bishopsgate, City of London, Greater London, England, E1 7JJ, United Kingdom",E1 7JJ,51.0
1,51.516351,-0.082965,1,1,13,1,1,0,Wormwood Street,"Barclays, Wormwood Street, Bishopsgate, City of London, Greater London, England, EC2M 1RQ, United Kingdom",EC2M 1RQ,48.0
1,51.516351,-0.082965,0,2,15,3,0,0,Wormwood Street,"Barclays, Wormwood Street, Bishopsgate, City of London, Greater London, England, EC2M 1RQ, United Kingdom",EC2M 1RQ,2.0
1,51.516351,-0.082965,1,2,13,3,0,0,Wormwood Street,"Barclays, Wormwood Street, Bishopsgate, City of London, Greater London, England, EC2M 1RQ, United Kingdom",EC2M 1RQ,4.0
0,51.514461,-0.092268,1,1,13,3,1,0,King Street,"Colliers, 34, King Street, Cheap, City of London, Greater London, England, EC2V 8EE, United Kingdom",EC2V 8EE,1.0
1,51.509848,-0.104494,1,2,13,1,1,0,Blackfriars Bridge,"Blackfriars Bridge, Blackfriars, City of London, Greater London, England, EC4Y 0DH, United Kingdom",EC4Y 0DH,23.0
1,51.513377,-0.096363,0,2,14,3,4,0,New Change,"St Paul's Cathedral Choir School, 2, New Change, Cheap, City of London, Greater London, England, EC4M 9AD, United Kingdom",EC4M 9AD,16.0
1,51.515739,-0.100632,1,2,15,3,4,0,Warwick Lane,"Cutlers Hall, Warwick Lane, West Smithfield, City of London, Greater London, England, EC4M 7BY, United Kingdom",EC4M 7BY,24.0
1,51.516814,-0.08162,1,3,15,3,1,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,6.0
0,51.514151,-0.074958,1,2,4,0,4,0,Aldgate High Street,"Aldgate House, 33, Aldgate High Street, Aldgate, City of London, Greater London, England, EC3N 1DL, United Kingdom",EC3N 1DL,25.0
1,51.517058,-0.083296,1,2,15,3,4,0,Old Broad Street,"New Broad Street House, 35, Old Broad Street, Bishopsgate, City of London, Greater London, England, EC2M 1JB, United Kingdom",EC2M 1JB,23.0
0,51.513171,-0.077694,1,2,1,0,1,0,Aldgate,"88-90, Aldgate, City of London, Greater London, England, EC3M 4ST, United Kingdom",EC3M 4ST,23.0
0,51.522003,-0.117684,1,1,7,1,1,0,Rugby Street,"7, Rugby Street, Gray's Inn, Holborn, London Borough of Camden, London, Greater London, England, WC1N 3QT, United Kingdom",WC1N 3QT,3.0
