,Type,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
490,Person search,2020-01-16T07:35:45+00:00,51.514203,-0.094628,Stolen goods,1
497,Person search,2020-01-17T03:54:50+00:00,51.51539,-0.070437,Article for use in theft,1
498,Person and Vehicle search,2020-01-17T04:54:51+00:00,51.513171,-0.077694,Controlled drugs,1
499,Person and Vehicle search,2020-01-17T06:56:31+00:00,51.522003,-0.117684,Controlled drugs,1
502,Person search,2020-01-17T08:53:41+00:00,51.516834,-0.076199,Controlled drugs,1
503,Person and Vehicle search,2020-01-17T09:30:37+00:00,51.515196,-0.071772,Controlled drugs,1
508,Person search,2020-01-18T03:55:41+00:00,51.517058,-0.083296,Stolen goods,1
516,Person search,2020-01-19T04:06:06+00:00,51.517576,-0.079786,Controlled drugs,1
517,Person search,2020-01-20T02:14:12+00:00,51.512652,-0.092719,Article for use in theft,1
519,Person search,2020-01-20T04:18:57+00:00,51.516814,-0.08162,Stolen goods,1
525,Person search,2020-01-21T03:09:44+00:00,51.519015,-0.086976,Article for use in theft,1
526,Person search,2020-01-21T03:12:50+00:00,51.519015,-0.086976,Article for use in theft,1
530,Person and Vehicle search,2020-01-21T07:42:34+00:00,51.513389,-0.080034,Controlled drugs,1
543,Person search,2020-01-22T08:14:18+00:00,51.514203,-0.094628,Article for use in theft,1
546,Person search,2020-01-22T09:59:02+00:00,51.517184,-0.076747,Controlled drugs,1
550,Person search,2020-01-22T11:14:51+00:00,51.516814,-0.08162,Controlled drugs,1
551,Person and Vehicle search,2020-01-23T01:53:11+00:00,51.516814,-0.08162,Controlled drugs,1
553,Person and Vehicle search,2020-01-23T02:39:06+00:00,51.51265,-0.101452,Controlled drugs,1
554,Person and Vehicle search,2020-01-23T03:35:25+00:00,51.51265,-0.101452,Controlled drugs,1
564,Person search,2020-01-23T08:46:19+00:00,51.511625,-0.081549,Stolen goods,1
565,Person search,2020-01-23T08:47:42+00:00,51.511625,-0.081549,Stolen goods,1
570,Person search,2020-01-23T09:48:09+00:00,51.52029,-0.078591,Controlled drugs,1
579,Person search,2020-01-24T04:21:28+00:00,51.509547,-0.076031,Controlled drugs,1
581,Person and Vehicle search,2020-01-24T06:14:40+00:00,51.508066,-0.08778,Controlled drugs,1
586,Person search,2020-01-25T02:29:38+00:00,51.514203,-0.094628,Article for use in theft,1
591,Person search,2020-01-25T05:48:08+00:00,51.510651,-0.080322,Controlled drugs,1
594,Person search,2020-01-25T07:12:51+00:00,51.516026,-0.091151,Stolen goods,1
597,Person and Vehicle search,2020-01-25T09:28:28+00:00,51.51265,-0.101452,Controlled drugs,1
599,Person and Vehicle search,2020-01-25T11:21:45+00:00,51.514151,-0.074958,Controlled drugs,1
605,Person search,2020-01-26T05:58:15+00:00,51.511625,-0.081549,Controlled drugs,1
607,Person search,2020-01-26T12:49:32+00:00,51.516886,-0.090985,Controlled drugs,1
611,Person and Vehicle search,2020-01-27T03:45:53+00:00,51.51905,-0.076437,Controlled drugs,1
613,Person search,2020-01-27T08:45:43+00:00,51.514766,-0.096075,Stolen goods,1
614,Person search,2020-01-27T08:50:59+00:00,51.514766,-0.096075,Stolen goods,1
615,Person search,2020-01-27T09:26:15+00:00,51.514203,-0.094628,Stolen goods,1
616,Person search,2020-01-27T10:53:54+00:00,51.513928,-0.108231,Stolen goods,1
621,Person and Vehicle search,2020-01-28T07:01:27+00:00,51.50995,-0.078665,Stolen goods,1
622,Person and Vehicle search,2020-01-29T03:15:52+00:00,51.516814,-0.08162,Controlled drugs,1
625,Person search,2020-01-30T03:07:00+00:00,51.513194,-0.092321,Controlled drugs,1
630,Person and Vehicle search,2020-01-30T05:06:48+00:00,51.508066,-0.08778,Controlled drugs,1
635,Person search,2020-01-30T09:47:53+00:00,51.516814,-0.08162,Article for use in theft,1
642,Person search,2020-01-31T08:43:35+00:00,51.517196,-0.085149,Article for use in theft,1
644,Person search,2020-02-01T02:30:37+00:00,51.516006,-0.080573,Controlled drugs,1
647,Person search,2020-02-01T05:32:48+00:00,51.516814,-0.08162,Offensive weapons,1
649,Person search,2020-02-01T09:31:00+00:00,51.508066,-0.08778,Stolen goods,1
650,Person search,2020-02-01T09:32:04+00:00,51.508066,-0.08778,Stolen goods,1
