,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
6412,2022-03-16 01:04:38,51.517244,-0.080376,Stolen goods,1
6416,2022-03-16 05:35:10,51.516814,-0.08162,Controlled drugs,1
6420,2022-03-16 07:54:21,51.516814,-0.08162,Stolen goods,1
6426,2022-03-17 04:39:57,51.511165,-0.100822,Controlled drugs,1
6427,2022-03-17 06:12:52,51.514203,-0.094628,Stolen goods,1
6430,2022-03-17 06:22:37,51.510913,-0.101395,Controlled drugs,1
6432,2022-03-18 06:01:08,51.518511,-0.08531,Controlled drugs,1
6439,2022-03-19 02:18:45,51.522233,-0.107382,Controlled drugs,1
6446,2022-03-19 12:43:35,51.512598,-0.084967,Stolen goods,1
6454,2022-03-22 07:09:17,51.517431,-0.082458,Controlled drugs,1
6455,2022-03-22 07:58:26,51.518189,-0.082628,Controlled drugs,1
6458,2022-03-22 08:53:30,51.517431,-0.082458,Controlled drugs,1
6461,2022-03-23 06:06:05,51.521463,-0.107054,Controlled drugs,1
6462,2022-03-23 06:57:25,51.507808,-0.07913,Article for use in theft,1
6466,2022-03-23 08:00:27,51.507808,-0.07913,Article for use in theft,1
6468,2022-03-23 08:16:13,51.509344,-0.080665,Article for use in theft,1
6477,2022-03-24 04:27:18,51.516814,-0.08162,Stolen goods,1
6481,2022-03-25 03:47:54,51.510913,-0.08315,Firearms,1
6486,2022-03-25 07:41:34,51.512952,-0.096814,Offensive weapons,1
6495,2022-03-26 08:43:00,51.515307,-0.097277,Controlled drugs,1
6496,2022-03-26 08:59:32,51.515307,-0.097277,Controlled drugs,1
6499,2022-03-29 00:03:46,51.514763,-0.075508,Controlled drugs,1
6505,2022-03-30 03:23:30,51.514158,-0.100179,Stolen goods,1
6506,2022-03-30 04:47:11,51.50932,-0.084701,Controlled drugs,1
6507,2022-03-30 05:11:41,51.509344,-0.080665,Controlled drugs,1
6510,2022-03-31 02:45:28,51.512598,-0.084967,Stolen goods,1
6514,2022-04-01 16:06:09,51.513869,-0.105134,Stolen goods,1
6516,2022-04-01 17:46:46,51.510786,-0.068816,Controlled drugs,1
6518,2022-04-01 21:07:38,51.517032,-0.089451,Controlled drugs,1
6523,2022-04-02 04:55:10,51.510651,-0.080322,Controlled drugs,1
6524,2022-04-02 04:58:51,51.511611,-0.080728,Controlled drugs,1
6525,2022-04-02 06:17:55,51.510651,-0.080322,Controlled drugs,1
6526,2022-04-02 11:10:25,51.511118,-0.090203,Controlled drugs,1
6533,2022-04-03 15:53:29,51.517576,-0.079786,Controlled drugs,1
6535,2022-04-04 03:26:32,51.516855,-0.080234,Controlled drugs,1
6536,2022-04-04 03:38:02,51.516855,-0.080234,Controlled drugs,1
6539,2022-04-04 08:25:32,51.517576,-0.079786,Articles for use in criminal damage,1
6540,2022-04-04 14:09:38,51.512462,-0.076095,Controlled drugs,1
6541,2022-04-04 16:45:12,51.517576,-0.079786,Stolen goods,1
6547,2022-04-06 02:20:17,51.50995,-0.078665,Controlled drugs,1
6548,2022-04-06 02:29:54,51.50995,-0.078665,Controlled drugs,1
6559,2022-04-08 01:56:16,51.51769,-0.084566,Stolen goods,1
